County,State,Value,Category Range
Merrick,NE,367.2,106.1 - 380.0 (648)
Valdez-Cordova,AK,367.3,106.1 - 380.0 (648)
Cherokee,IA,367.3,106.1 - 380.0 (648)
Gosper,NE,367.4,106.1 - 380.0 (648)
Douglas,KS,367.5,106.1 - 380.0 (648)
Barnstable,MA,367.6,106.1 - 380.0 (648)
Red Lake,MN,367.8,106.1 - 380.0 (648)
Walla Walla,WA,367.8,106.1 - 380.0 (648)
Juana Diaz,PR,368.3,106.1 - 380.0 (648)
Burnett,WI,368.4,106.1 - 380.0 (648)
Lincoln,OR,368.9,106.1 - 380.0 (648)
Oxford,ME,369.1,106.1 - 380.0 (648)
Pueblo,CO,369.2,106.1 - 380.0 (648)
Moore,NC,369.3,106.1 - 380.0 (648)
Jasper,IA,369.4,106.1 - 380.0 (648)
Summit,UT,369.6,106.1 - 380.0 (648)
New London,CT,370,106.1 - 380.0 (648)
Montezuma,CO,370.2,106.1 - 380.0 (648)
Hodgeman,KS,370.2,106.1 - 380.0 (648)
Union,SD,370.2,106.1 - 380.0 (648)
Loudon,TN,370.4,106.1 - 380.0 (648)
Lake of the Woods,MN,370.5,106.1 - 380.0 (648)
Uintah,UT,370.6,106.1 - 380.0 (648)
Watonwan,MN,370.7,106.1 - 380.0 (648)
DeKalb,IL,370.7,106.1 - 380.0 (648)
Berkshire,MA,370.8,106.1 - 380.0 (648)
Nance,NE,370.8,106.1 - 380.0 (648)
Goodhue,MN,370.9,106.1 - 380.0 (648)
Teller,CO,370.9,106.1 - 380.0 (648)
Burnet,TX,370.9,106.1 - 380.0 (648)
Buncombe,NC,371,106.1 - 380.0 (648)
Wheeler,OR,371.1,106.1 - 380.0 (648)
Kimball,NE,371.2,106.1 - 380.0 (648)
